,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,강릉(105),2018-09-12,19,16,606,21.7,1349,0,0,0,0,0,0,5.1,250,210,2.9,230,606,1.5,1334,14.8,62,1701,77.3,16.9,1017.3,1022.2,1,1018.9,2310,1020.4,12.6,1.3,1100,1.4,7.1,0,0,0,0,0,7.9,6.3,19.8,17.6,21,21.4,22.3,23.1,23.6,23.9,23.7,21.1,17.2,1.4,2.1,0,0,0
11,동해(106),2018-09-12,18.4,15.6,201,21.2,1044,0,0,0,0,0,0,7.1,20,1041,4.4,360,1047,1.4,1232,15.4,71,803,83.1,17.5,1015.5,1022,1,1018.8,2330,1020.2,12.6,0.6,0,0,0,0,0,0,0,0,7.3,7.3,20.2,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,서울(108),2018-09-12,22.8,16.8,621,28.2,1551,0,0,0,0,0,0,6,90,1227,3.2,180,1519,1.4,1181,12.1,39,1540,52,14.3,1008.1,1020.7,142,1016.1,1541,1018,12.6,11.3,1100,2.91,20.39,0,0,0,0,0,4.1,0.8,26.8,13.3,24.3,24.6,24.3,24.3,24.3,24.5,24.3,21.2,17.2,4,5.7,0,0,0
13,인천(112),2018-09-12,22.7,18.4,620,27.3,1357,0,0,0,0,0,0,7.4,110,458,4.7,90,445,2.9,2536,13.6,41,1359,57.3,15.8,1009.8,1020.1,112,1016.1,1537,1017.8,12.6,11.2,1200,2.81,19.1,0,0,0,0,0,5.4,1.6,23.6,15.4,22.9,22.7,23.1,23.3,23.2,23.3,22.9,20.3,15.8,4.2,6,0,0,0
14,원주(114),2018-09-12,20.8,14.4,607,26.8,1536,0,0,0,0,0,0,6.1,180,1345,2.6,180,1414,1,837,12.3,40,1507,59.8,14.4,1001.1,1021,238,1015.6,1623,1018.3,12.6,10.2,1300,2.91,20.59,0,0,0,0,0,6.6,3.6,24.1,10.5,0,0,0,0,0,0,0,0,0,3.7,5.3,0,0,0
15,울릉도(115),2018-09-12,20.2,18.5,458,22.6,1129,0.62,0,0,0,0,0,11.2,50,1117,7.6,50,1117,3.9,3410,16,66,936,77.4,18.2,993.8,1021.6,8,1018.5,1819,1019.6,12.6,7.4,1100,2.24,11.95,0,0,0,0,0,7.6,5.1,24.9,16.2,22.8,22.8,22.5,22.5,22.3,22.7,21.4,16.7,13.5,2.2,3.2,21.1,{비}1903-1910. {비}2115-2145.,0
16,수원(119),2018-09-12,22.5,16.1,656,27.6,1437,0,0,0,0,0,0,7.1,110,1122,4.5,110,30,2,1706,14.3,46,1635,60.9,16.5,1014.2,1020.7,20,1016.4,1605,1018.2,12.6,10.4,1200,3.05,21,0,0,0,0,0,4.6,2,26.5,14,0,0,0,0,0,0,0,0,0,4,5.8,0,0,0
17,영월(121),2018-09-12,19.3,12.8,519,26.4,1302,0,0,0,0,0,0,5.5,90,1414,4.1,90,1423,1,878,14.8,50,1205,77.3,16.9,991.2,1022.2,40,1016.2,1615,1019,12.6,7.9,0,0,0,0,0,0,0,0,6.5,4,23.3,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,충주(127),2018-09-12,20.7,13.3,559,28.2,1507,0,0,0,0,0,0,5.5,110,1223,3.3,90,1100,1.4,1238,14.2,45,1612,68.9,16.3,1005.3,1021.7,30,1016.2,1558,1018.8,12.6,10.2,0,0,0,0,0,0,0,0,5.8,3.1,23.2,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,서산(129),2018-09-12,21.2,15.7,631,27.3,1504,0,0,0,0,0,0,5.2,360,1058,3.2,20,852,1.5,1322,14.6,42,1625,67.9,16.8,1014.8,1020.1,110,1016.5,1529,1018.2,12.6,10.6,1200,3.16,23.09,0,0,0,0,0,3.8,0,25.1,13.3,23.4,23.5,23.3,23.8,0,0,0,0,0,4,5.7,0,0,0
20,울진(130),2018-09-12,19.5,17.1,1,24,1428,0,0,0,0,0,0,5.9,320,913,4,290,725,2.2,1924,16.3,68,1430,82.5,18.6,1014.2,1021.8,33,1019.2,1652,1020.1,12.6,0.6,0,0,0,0,0,0,0,0,8.3,5,23.2,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,청주(131),2018-09-12,22.3,15.9,614,27.8,1446,0,0,0,0,0,0,9.3,140,1532,4,140,1141,2.2,1885,13.7,41,1534,59.1,15.7,1011.1,1020.4,1,1015.5,1608,1017.7,12.6,11.2,1300,3.05,22.63,0,0,0,0,0,5,2.5,25.7,14,0,0,0,0,0,0,0,0,0,4.6,6.5,0,0,0
22,대전(133),2018-09-12,22.3,15.5,615,28,1354,0,0,0,0,0,0,8.1,110,1108,4,110,1033,1.7,1427,16.6,53,1334,71.9,19,1010,1020.7,1,1015.7,1616,1018,12.6,10.1,1300,3.24,22.46,0,0,0,0,0,4.3,3.1,26.3,12.4,25,24.4,24.9,25.2,25.2,25.5,25.6,23.6,18.8,4.1,5.9,0,0,0
23,추풍령(135),2018-09-12,19.5,13.4,608,25.4,1432,0,0,0,0,0,0,8.4,140,1505,5.4,70,1114,2.4,2042,14.7,58,1433,74.9,16.8,990.3,1021,1,1015.8,1647,1018.4,12.6,6.4,1400,2.9,16.68,0,0,0,0,0,7.5,5.9,24.2,12.8,0,0,0,0,0,0,0,0,0,3.1,4.5,0,0,0
24,안동(136),2018-09-12,20,14,550,25.8,1346,0,0,0,0,0,0,7.4,110,1612,4.5,110,1602,1.7,1497,14.8,55,1350,73.1,16.8,1002.6,1021.5,22,1017,1545,1018.9,12.6,8.7,1300,2.2,16.68,0,0,0,0,0,4.6,3.5,24.5,12.3,0,0,0,0,0,0,0,0,0,3,4.2,0,0,0
25,상주(137),2018-09-12,20.8,15.1,545,27.3,1502,0,0,0,0,0,0,4.7,70,1230,1.7,70,1253,0.7,617,15.5,53,1634,72.6,17.7,1007.6,1021.3,16,1016.3,1644,1018.8,12.6,5.7,0,0,0,0,0,0,0,0,7.6,6.3,25.3,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,포항(138),2018-09-12,21.6,20.5,411,23,1238,2.28,0,0,0,0,0,7.6,320,855,5.4,360,1226,3.2,2794,16.7,69,1442,74.1,19,1018.7,1020.5,1,1018.5,1622,1019.2,12.6,0.9,1200,1.78,8.32,0,0,0,0,0,9.1,8.5,23.8,18.3,23.7,23.8,23.9,23.9,23.7,23.5,23,20.1,17.1,2,2.8,0,{비}0205-0242. {비}1012-1152.,0
27,군산(140),2018-09-12,21.5,16.6,636,27,1505,0,0,0,0,0,0,5.5,50,437,3.6,290,1544,0.9,781,15.8,49,1332,71.4,18.1,1014.6,1019.4,17,1015.6,1538,1017.3,12.5,10.8,0,0,0,0,0,0,0,0,4.9,1.6,26.6,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,대구(143),2018-09-12,21.1,17.1,609,25.6,1405,0,0,0,0,0,0,9.9,110,1709,6.2,110,1718,2.7,2291,14.8,58,1358,67.5,16.9,1012.2,1020.3,53,1017,1439,1018.4,12.6,6.5,1300,2.86,17.79,0,0,0,0,0,7.1,5.3,25.1,15,0,0,0,0,0,0,0,0,0,3.7,5.3,0,0,0
29,전주(146),2018-09-12,22.3,16.1,618,28.6,1350,0,0,0,0,0,0,5.1,290,1728,2.8,290,1730,1.2,1041,17.3,54,1351,74.5,19.9,1010,1019.4,1,1014.9,1551,1017.1,12.6,10.6,1200,3.15,22.93,0,0,0,0,0,4.6,1.4,25,10.4,0,0,0,0,0,0,0,0,0,4,5.7,0,0,0
30,울산(152),2018-09-12,21.3,19.7,128,24.1,1233,0.75,0,0,0,0,0,7,340,256,3.9,340,309,2.4,2062,18.7,79,1,85.5,21.7,1008.6,1019.8,1,1017.5,1454,1018.2,12.5,1.2,0,0,0,0,0,0,0,0,8.4,8.1,21.8,17.6,0,0,0,0,0,0,0,0,0,0,0,0,{비}0515-0545. {비}0935-0950.,0
31,창원(155),2018-09-12,22.5,18.3,627,27.1,1352,0.1,0,0,0,0,0,7.3,50,1054,4,50,416,1.8,1562,18.5,67,1342,78.3,21.4,1013,1019.6,1,1015.7,1617,1017.4,12.5,6.3,1100,2.93,16.86,0,0,0,0,0,7.3,4.9,23.9,16.5,0,0,0,0,0,0,0,0,0,2.6,3.8,0,{비}1758-{비}{강도0}1800-1804.,0
32,광주(156),2018-09-12,22.6,16.1,612,27.9,1359,0,0,0,0,0,0,7.5,50,21,4.5,50,25,1.8,1565,16.6,48,1124,70.4,19,1008.6,1019.3,1,1015,1535,1017,12.5,7.4,1200,3.25,19.35,0,0,0,0,0,5.6,3.4,24.2,13.1,0,0,0,0,0,0,0,0,0,3.1,4.4,0,0,0
33,부산(159),2018-09-12,23.2,19.7,1,28.1,1213,0,0,0,0,0,0,9.2,20,126,4.5,50,149,3.2,2751,18,60,1203,73.3,20.7,1009.2,1019.1,1,1016.1,1603,1017.3,12.5,8.3,0,0,0,0,0,0,0,0,7,3.3,27.2,18,24.7,24.5,24.4,24.3,25.3,25.2,24.6,20.9,18.4,0,0,0,0,0
34,통영(162),2018-09-12,22.7,19.1,553,28.5,1421,0,0,0,0,0,0,7.9,20,1152,4.9,360,1005,2.6,2211,17.6,62,1422,73.4,20.2,1013.6,1019.2,21,1016,1508,1017.3,12.5,7.1,0,0,0,0,0,0,0,0,6.3,3.8,23.4,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,목포(165),2018-09-12,23.3,18.2,602,29.1,1357,0,0,0,0,0,0,7.4,90,1054,5.1,20,1701,2.4,2098,16.6,52,1359,66.8,19,1012.4,1018.4,107,1015.2,1458,1016.8,12.5,10.6,1300,3.02,21.61,0,0,0,0,0,5.1,1.3,25.5,14.9,24.8,24.3,24.5,24.4,24.8,25.2,25.3,23.9,20.5,4,5.7,2.8,0,0
36,여수(168),2018-09-12,23.2,20.2,37,27.1,1511,0,0,0,0,0,0,16.9,20,139,10.3,50,139,5.2,4507,17.6,61,1511,71,20.2,1009.3,1018.6,1,1015.3,1601,1016.7,12.5,8.4,1300,2.91,19.02,0,0,0,0,0,6.5,4,27.3,19.1,23.6,23.7,23.6,23.8,23.8,24.9,24.5,21.3,17.8,3.9,5.6,0,0,0
37,흑산도(169),2018-09-12,23,19.8,534,26.4,1439,0,0,0,0,0,0,8.1,50,2210,6.1,50,2012,3.9,3355,17.2,59,1126,70.4,19.7,1007.7,1017.8,1101,1015.2,1557,1016.5,12.5,9.5,1200,2.37,18.18,0,0,0,0,0,4.6,1.1,29.1,17.5,0,0,0,0,0,0,0,0,0,3.4,4.9,0,0,0
38,완도(170),2018-09-12,22.9,19.1,319,27.7,1318,0,0,0,0,0,0,7.3,140,1524,6,110,1557,2.4,2065,17.9,60,1319,74.3,20.7,1012.5,1018.3,1,1015.2,1516,1016.6,12.5,7.8,0,0,0,0,0,0,0,0,6.4,6.3,25.1,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,고창(172),2018-09-12,21.5,14.6,507,28.3,1509,0,0,0,0,0,0,5.2,50,1136,4.2,320,1626,1.5,1314,15.6,44,1318,71.8,17.8,1011.1,1019,2,1015.3,1518,1017.2,12.5,11.2,1200,2.4,17.07,0,0,0,0,0,4.9,1,25.3,11.5,0,0,0,0,0,0,0,0,0,3,4.4,0,0,0
40,순천(174),2018-09-12,20.3,13.1,449,27.1,1244,0,0,0,0,0,0,5.9,90,1313,3.2,110,1112,0.9,771,17.4,57,1338,85.5,20.1,997.8,1019.5,5,1014.8,1535,1016.9,12.5,7.7,0,0,0,0,0,0,0,0,5.5,2.6,22.2,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,진도(첨찰산)(175),2018-09-12,21.3,16,246,29.7,1404,0,0,0,0,0,0,10.1,160,2352,7.5,160,2359,4.1,3536,17,52,1159,78.4,19.5,962.2,1017.9,1,1014.4,1404,1016.2,12.5,10.6,0,0,0,0,0,0,0,0,0,0,26,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,홍성(177),2018-09-12,20.7,14.3,424,27.2,1627,0,0,0,0,0,0,4.4,140,1318,2.5,50,1423,0.9,782,15.7,47,1625,75,17.9,1014.6,1019.7,1,1015.7,1532,1017.5,12.6,11.3,1200,3.02,22.33,0,0,0,0,0,4.1,0.5,24.5,12.2,0,0,0,0,0,0,0,0,0,3.4,4.8,0,0,0
43,제주(184),2018-09-12,23,21.4,630,24.8,1548,6.75,0.1,0,0.2,0,0.2,9.4,90,10,5,70,226,2.8,2436,20.9,81,323,88,24.8,1013.7,1017.6,4,1014.8,1545,1016.1,12.5,0,1400,0.66,4.98,0,0,0,0,0,10,5.6,23.5,20.1,24,23.2,25.2,25.7,26.1,26.6,26,23.5,20.5,1,1.5,94.1,-{비}-{비}{강도0}0300-0323. {비}1715-1733. {비}1808-1851. {박무}1851-2010. {비}2133-2354. {박무}2155-2240.,0
44,고산(185),2018-09-12,23.8,20.7,641,28,1625,0,0,0,0,0,0,9.1,110,334,5.4,110,559,3.1,2659,21.1,71,1323,85.3,25.1,1006.6,1016.2,1030,1013.9,1601,1014.8,12.5,2.6,1300,1.66,9.35,0,0,0,0,0,7.9,5.5,24.9,19.8,0,0,0,0,0,0,0,0,0,1.7,2.4,0,0,0
45,성산(188),2018-09-12,23.2,22.2,1,24.6,1451,0,14.6,2349,62.9,2032,176,11.6,110,21,6.7,90,220,4.1,3549,20.8,79,402,86.9,24.6,1013.6,1017.2,1009,1014.8,1908,1015.9,12.5,0,0,0,0,0,0,0,0,0,9.4,8.1,22.6,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,서귀포(189),2018-09-12,23.4,21.5,604,25.2,1601,2.88,0.1,0,0.1,0,0.1,8.5,360,808,4.2,50,1340,3.1,2683,22.8,90,924,96.9,27.8,1009.4,1016.3,1005,1013.9,1900,1015.1,12.5,1.1,0,0,0,0,0,0,0,0,9.3,7.3,23.8,21.8,0,0,0,0,0,0,0,0,0,0,0,172.7,-{비}-0149. {박무}1358-{박무}{강도0}1500-1510. {비}1445-1454. {비}2305-{비}{강도0}2400-,0
47,진주(192),2018-09-12,22,14.9,535,28.4,1500,0,0,0,0,0,0,5.7,90,1123,3,20,1010,1,856,16,50,1436,70,18.2,1014.3,1020.3,1,1015.7,1605,1017.8,12.5,8.1,1100,2.8,18.49,0,0,0,0,0,6.8,2.9,25.9,12.9,0,0,0,0,0,0,0,0,0,3.1,4.5,0,0,0
48,강화(201),2018-09-12,20.2,15.2,509,26.1,1514,0,0,0,0,0,0,6.1,110,1345,3.1,50,834,1.6,1419,13.7,44,1420,67.8,15.7,1012.9,1020.7,122,1016.6,1539,1018.5,12.6,10.9,0,0,0,0,0,0,0,0,4.1,0.5,25.9,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,양평(202),2018-09-12,20.8,14.3,524,27.4,1452,0,0,0,0,0,0,6.4,200,1506,3.2,230,1507,1.1,965,13.8,42,1538,67.3,15.9,1013.1,1021.2,109,1016.2,1614,1018.6,12.6,9.8,0,0,0,0,0,0,0,0,5.1,1.4,24.8,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,이천(203),2018-09-12,20.1,13.1,356,28.5,1433,0,0,0,0,0,0,5.8,110,1323,3.1,90,1547,1.1,932,14,42,1425,70.9,16.1,1009.5,1021.6,112,1016.5,1727,1018.9,12.6,9.4,0,0,0,0,0,0,0,0,4.8,1.4,24.1,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,인제(211),2018-09-12,17.5,11.3,459,24.7,1437,0,0,0,0,0,0,5.8,360,1517,3.6,360,1520,1.7,1446,12.7,50,1400,75.6,14.7,996.7,1022.7,6,1016.6,1634,1020.1,12.6,9.6,0,0,0,0,0,0,0,0,6.1,4,22.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,홍천(212),2018-09-12,20,12.3,638,27.8,1613,0,0,0,0,0,0,3.9,70,2118,2.4,270,1702,1,852,13.9,44,1541,70.3,16,1002.7,1021.9,310,1015.8,1613,1019,12.6,10.9,0,0,0,0,0,0,0,0,5.3,0,24.1,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,태백(216),2018-09-12,15,12.6,512,17.5,1526,0,0,0,0,0,0,5.1,50,953,3.1,50,1002,1,870,13.5,82,1540,91.8,15.5,938.5,1022.4,7,1017.6,1623,1019.8,12.6,0,0,0,0,0,0,0,0,0,8.8,8.6,17.2,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,정선군(217),2018-09-12,17.7,12,551,24.6,1538,0,0,0,0,0,0,10,110,729,2.9,110,1438,1.2,1052,14.1,52,1350,82.1,16.1,984.3,1022.9,107,1017,1556,1020,12.6,5.1,0,0,0,0,0,0,0,0,7.4,4,21.3,12.1,21.4,21.4,21.7,22,0,0,0,0,0,0,0,0,0,0
55,제천(221),2018-09-12,19.3,11.9,439,27.2,1536,0,0,0,0,0,0,6.7,70,946,4.2,50,1103,1.3,1114,13.7,45,1536,72.4,15.7,988.4,1021.5,32,1015.5,1536,1018.4,12.6,8.4,0,0,0,0,0,0,0,0,6.4,2.9,22.5,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,보은(226),2018-09-12,20,12,613,26.5,1516,0,0,0,0,0,0,7.6,180,1146,4.6,180,1153,1.1,961,14.9,52,1525,74.8,17.1,998.1,1021.2,16,1015.9,1651,1018.4,12.6,8.8,0,0,0,0,0,0,0,0,5.3,1.4,22.9,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,천안(232),2018-09-12,20,13.3,615,26.7,1701,0,0,0,0,0,0,7.2,90,1154,4.3,90,917,1.8,1516,12.8,40,1526,65.6,14.9,1008.5,1020.7,25,1015.8,1604,1017.9,12.6,10,0,0,0,0,0,0,0,0,5.1,3.4,24.4,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,보령(235),2018-09-12,21.4,16.8,625,26.4,1251,0,0,0,0,0,0,5.3,50,6,3,70,6,1,898,14.7,44,1107,66.5,16.8,1015.4,1019.1,723,1016,1542,1017.2,12.6,9.7,0,0,0,0,0,0,0,0,4.5,2,25.6,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,부여(236),2018-09-12,21.2,15.2,615,28.3,1435,0,0,0,0,0,0,5,20,537,2.7,20,608,1.4,1235,14.2,36,1402,67.4,16.3,1016.3,1020.1,8,1015.7,1553,1017.6,12.6,10.8,0,0,0,0,0,0,0,0,4.5,1,25.7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,금산(238),2018-09-12,19.9,11.6,600,27.9,1422,0,0,0,0,0,0,7.1,20,1239,3,200,1239,1,882,14.5,45,1411,73.6,16.6,998,1020.7,1,1014.9,1528,1017.7,12.6,9.2,0,0,0,0,0,0,0,0,4.8,1.5,23.3,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,부안(243),2018-09-12,21.6,14.6,615,28.6,1352,0,0,0,0,0,0,5.9,290,1601,3.6,270,1611,1.5,1269,15.3,41,1336,69.5,17.5,1016,1019.3,1,1015.7,1505,1017.4,12.6,10.9,0,0,0,0,0,0,0,0,4.4,0.9,26.4,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,임실(244),2018-09-12,20,11.3,615,27.8,1542,0,0,0,0,0,0,5,180,1317,2.6,180,1309,0.9,748,14.9,40,1218,75.5,17.2,988.9,1020.4,1,1014.8,1534,1017.4,12.5,9.1,0,0,0,0,0,0,0,0,5.4,3.1,22.6,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,정읍(245),2018-09-12,21.3,14.1,545,27.9,1455,0,0,0,0,0,0,5.3,360,1645,3.2,360,1654,1.2,1030,18,57,1408,83.5,20.7,1009,1019,1,1015,1553,1017.1,12.5,10.9,0,0,0,0,0,0,0,0,4.6,2.1,26.4,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,남원(247),2018-09-12,21.9,14.5,604,28.1,1426,0,0,0,0,0,0,6.3,20,130,4.6,20,25,2.1,1787,15.2,45,1134,67.4,17.4,1001.9,1019.6,1,1014.8,1537,1017.2,12.5,9.1,0,0,0,0,0,0,0,0,5.3,2,25,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,장수(248),2018-09-12,18.7,9.6,611,27.1,1510,0,0,0,0,0,0,10.6,230,1108,3.5,160,1210,0.9,807,13.7,44,1446,75.8,15.9,970.9,1021.3,53,1014.3,1522,1017.5,12.5,8.6,0,0,0,0,0,0,0,0,6,2.6,21.8,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,고창군(251),2018-09-12,21.3,13.9,548,29.1,1519,0,0,0,0,0,0,10.1,360,1134,5.9,360,1135,2.4,2036,15,41,1521,70.3,17.1,1010.2,1018.4,1,1014.6,1514,1016.5,12.5,10.7,1200,1.93,14.01,0,0,0,0,0,4.8,1.4,26.1,11.6,24.3,23.9,24,24.4,0,0,0,0,0,3,4.3,0,0,0
67,영광군(252),2018-09-12,21.8,14.6,635,29.3,1345,0,0,0,0,0,0,6.6,360,1614,4.4,360,1631,1.5,1319,15.4,40,1456,69.1,17.5,1012.6,1018.7,9,1015.1,1514,1016.9,12.5,11.4,1200,3.36,23.79,0,0,0,0,0,4.9,0.3,26.2,12.9,24.5,24.3,24.2,24.4,0,0,0,0,0,4.2,6,0,0,0
68,김해시(253),2018-09-12,22.8,18.1,257,29.3,1259,0,0,0,0,0,0,6.3,340,244,3.6,290,516,1.8,1566,17.7,55,1300,73.9,20.3,1011.3,1020.2,1,1016.7,1550,1018.1,12.5,8.3,1200,2.43,15.97,0,0,0,0,0,6.4,2.6,24,16.2,24.5,24.3,24.3,24.4,0,0,0,0,0,2.8,4,0,0,0
69,순창군(254),2018-09-12,21.3,13.2,615,29,1517,0,0,0,0,0,0,4,90,959,2.4,140,1234,0.9,747,16.4,50,1145,76.3,18.8,1002.6,1020,1,1015,1531,1017.4,12.5,9.5,1200,1.97,13.62,0,0,0,0,0,4.8,2.6,24.9,12.4,23.7,23.7,23.8,24.2,0,0,0,0,0,2.3,3.2,0,0,0
70,북창원(255),2018-09-12,22,17.5,542,27.4,1503,0,0,0,0,0,0,5.8,360,937,3.3,90,1539,1.6,1372,17.3,63,1500,75.4,19.9,1011.9,1019.7,1,1015.9,1618,1017.6,12.5,4,1100,1.4,6.87,0,0,0,0,0,6.4,1.9,23.8,15,24.6,25,25,25.3,0,0,0,0,0,1.6,2.3,0,0,0
